1934,Buick,Model,"$104,000","15,954",9
1934,Ford,Victoria,"$65,000","5,433",5
1934,Chevrolet,Master,"$169,000","9,881",1
1934,Ford,Deluxe,"$98,000","1,466",0
1934,Ford,Model,"$98,000",74,0
1934,Plymouth,PE,"$47,000","4,618",1
1934,Buick,47,"$41,000","2,998",2
1934,Chevrolet,3,"$84,000","12,385",3
1934,Ford,Pickup,"$39,000","10,141",7
1935,Harley,Davidson,"$29,000","2,989",2
1935,Chevrolet,Master,"$104,000","2,619",1
1935,Ford,Sedan,"$45,000","1,302",0
1935,Studebaker,Dictator,"$99,000","7,274",1
1935,Chevrolet,Master,"$46,000","1,745",0
1935,Ford,Deluxe,"$69,000","4,314",1
1935,Chevrolet,Master,"$69,000","5,283",1
1935,Chrysler,Imperial,"$50,000","6,228",1
1935,Plymouth,PJ,"$24,000","11,827",5
1936,Ford,Sedan,"$29,000","1,621",1
1936,Ford,5,"$29,000","3,159",3
1936,Chevrolet,C10,"$36,000","10,510",2
1936,Ford,Model,"$30,000","2,298",1
1936,Ford,Truck,"$25,000","3,012",1
1936,Mercedes-Benz,500K,"$21,000","2,633",0
1936,Chevrolet,Master,"$26,000","2,058",0
1936,Chevrolet,Master,"$24,000","6,413",4
1936,Packard,120,"$22,000","12,795",4
1936,Ford,Sedan,"$39,000","6,749",2
1936,Ford,Roadster,"$43,000","6,494",5
1936,Dodge,D2,"$33,000",639,0
1937,Chevrolet,1/2,"$52,000",473,0
1937,Chevrolet,Pickup,"$28,000","12,789",4
1937,Ford,Sedan,"$63,000","2,186",2
1937,Chrysler,Desoto,"$21,000","1,324",0
1937,Buick,Century,"$33,000","3,437",2
1937,Ford,Coupe,"$65,000","1,445",0
1937,Chevrolet,Master,"$32,000","6,975",4
1937,Ford,Convertible,"$84,000","11,064",6
1937,Ford,Coupe,"$56,000","3,054",0
1937,Ford,Coupe,"$39,000","4,623",2
1937,Buick,Sedan,"$26,000","4,137",3
1937,Packard,1508,"$122,000","3,409",0
1937,Dodge,5,"$76,000","4,569",1
1937,Packard,Six,"$38,000","5,044",4
1937,Ford,Tudor,"$27,000","4,405",3
1937,Ford,Phantom,"$54,000","6,167",3
1937,Ford,Phaeton,"$39,000","4,631",3
1937,Ford,Slantback,"$24,000","9,411",5
1937,Dodge,D5,"$49,000","8,056",4
1937,Packard,Convertible,"$91,000","3,750",2
1937,Ford,Roadster,"$34,000","7,414",4
1937,Dodge,Sedan,"$36,000","3,202",0
1937,Chrysler,AirFlow,"$42,000","3,057",2
1938,Chevrolet,Tanker,"$65,000","11,243",6
1938,Hudson,Terraplane,"$29,000","1,698",1
1938,Plymouth,Sedan,"$26,000","4,197",2
1938,Buick,91L,"$35,000","5,892",0
1938,Chevrolet,Sedan,"$67,000","4,193",0
1938,Chevrolet,Pickup,"$109,000","6,478",0
1938,Ford,5,"$49,000","5,644",1
1938,Ford,Club,"$29,000","2,103",0
1938,Chevrolet,Master,"$39,000","4,747",0
1938,Chevrolet,Master,"$33,000","2,333",0
1938,Chevrolet,Master,"$121,000","4,111",1
1938,Chevrolet,Business,"$66,000","6,772",2
1939,Ford,Deluxe,"$137,000","2,330",0
1939,Ford,F1,"$24,000","9,813",2
1939,Chevrolet,Master,"$54,000",618,2
1939,Chevrolet,Master,"$45,000","9,445",9
1939,Cadillac,LaSalle,"$45,000","12,097",4
1939,Chevrolet,5,"$65,000","24,364",5
1939,Ford,Tudor,"$39,000","1,667",1
1939,Packard,Coupe,"$65,000","2,137",0
1939,Cadillac,LaSalle,"$72,000","2,224",0
1939,Ford,Tudor,"$37,000","3,802",2
1939,Packard,Sedan,"$25,000","6,423",9
1939,Chevrolet,Master,"$52,000","3,489",0
1939,Pontiac,Coupe,"$17,000","2,312",2
1939,Chevrolet,Master,"$37,000","3,647",2
1939,Ford,Cabriolet,"$56,000","2,490",3
1939,Ford,Sedan,"$65,000","1,482",2
1939,Plymouth,Coupe,"$50,000","4,263",1
1939,Buick,41,"$29,000",54,0
1939,Ford,Coupe,"$46,000","6,184",2
1939,Ford,Deluxe,"$34,000","9,193",3
1939,Chevrolet,Sedan,"$37,000","3,399",1
1939,Chevrolet,Master,"$44,000","5,078",2
1939,Buick,Century,"$28,500","5,549",0
1940,Chevrolet,Master,"$26,000","5,956",13
1940,Ford,Pickup,"$39,000","2,526",0
1940,Ford,Deluxe,"$46,000","7,627",5
1940,Willys,Coupe,"$52,000","3,551",0
1940,Ford,Deluxe,"$47,000","5,607",4
1940,Ford,Deluxe,"$34,000","3,040",1
1940,Ford,Deluxe,"$42,000","3,854",1
1940,Ford,Deluxe,"$38,000","2,986",2
1940,Willys,Create,"$52,000",987,0
1940,Chevrolet,Master,"$43,000","3,192",0
1940,Chevrolet,Master,"$62,000","5,102",1
1940,Nash,LaFayette,"$57,000","3,826",0
1940,Ford,Pickup,"$38,000","8,638",4
1940,Cadillac,LaSalle,"$50,000","6,356",5
1940,Dodge,Luxury,"$32,000","4,271",5
1940,Ford,Sedan,"$80,000","9,330",7
1940,Ford,Pickup,"$69,000","1,979",2
1940,Ford,Deluxe,"$33,000","6,907",1
1940,Cadillac,Series,"$46,000","8,054",4
1940,Ford,Tudor,"$51,000","2,506",0
1940,Ford,Coupe,"$59,000","2,630",0
1940,Buick,Super,"$33,000",643,0
1940,Chevrolet,Business,"$48,000","3,453",1
1940,Chevrolet,Master,"$39,000","6,947",1
1940,Ford,Tudor,"$25,000","8,300",7
1940,Chevrolet,Coupe,"$50,000","3,812",0
1940,Ford,Deluxe,"$52,000","1,751",2
1940,Ford,Deluxe,"$43,000","1,117",1
1940,Ford,Woody,"$156,000",759,0
1940,Ford,Deluxe,"$64,000","7,227",5
1940,Ford,Deluxe,"$62,000","2,266",1
1940,Cadillac,Series,"$36,000","4,861",3
1940,Ford,Sedan,"$39,000","5,126",5
1940,Ford,Deluxe,"$72,000","3,994",1
1940,Chevrolet,Master,"$39,000","5,047",3
1940,Buick,Super,"$64,000","3,894",0
1941,Willys,Coupe,"$62,000","13,533",1
1941,Chevrolet,Master,"$29,000","3,632",2
1941,Cadillac,Series,"$42,000","1,161",1
1941,Cadillac,Series,"$60,000","8,827",3
1941,Dodge,WC,"$68,000","13,759",8
1941,Cadillac,Series,"$77,000","2,764",2
1941,Ford,Super,"$48,000","4,228",3
1941,Willys,Coupe,"$69,000","1,302",1
1941,Ford,Super,"$35,000","4,163",3
1941,Dodge,Pickup,"$51,000",800,2
1941,Willys,Coupe,"$91,000","10,890",8
1941,Willys,Coupe,"$98,000","6,432",3
1941,Chevrolet,Master,"$27,000","1,222",0
1941,Ford,Super,"$49,000","2,417",2
1941,Chevrolet,Sedan,"$28,000","13,198",9
1941,Chevrolet,Special,"$19,000","4,923",2
1941,Lincoln,Continental,"$20,000","3,135",0
1941,Chrysler,Windsor,"$26,000",604,0
1941,Ford,Business,"$45,000","4,503",0
1941,Ford,Panel,"$52,000","8,912",4
1941,Mercury,Eight,"$57,000","3,462",1
1941,Chevrolet,Pickup,"$34,000",77,0
1941,Chevrolet,Sedan,"$22,000","22,180",18
1941,Ford,Super,"$39,000","5,807",3
1941,Chevrolet,Coupe,"$27,000","10,336",2
1941,Chevrolet,1/2,"$46,000","2,059",0
1941,Ford,Super,"$38,000",874,1
1941,Packard,Coupe,"$39,000","8,918",5
1941,Ford,Pickup,"$38,000","6,882",0
1942,Ford,Woody,"$52,000","3,128",1
1942,Ford,Convertible,"$53,000","4,452",4
1942,Ford,Super,"$76,000","1,595",1
1946,Ford,Custom,"$37,000","3,455",2
1946,Chevrolet,Pickup,"$22,000","6,330",2
1946,Ford,Pickup,"$36,000","4,055",1
1946,Ford,Anglia,"$52,000","8,005",0
1946,Chevrolet,Coupe,"$36,000",819,1
1946,Plymouth,Deluxe,"$17,000","8,020",6
1946,Ford,Coupe,"$38,000","2,696",1
1946,Chevrolet,Custom,"$37,000","3,478",3
1947,Studebaker,Champion,"$22,000","2,337",2
1947,Ford,Coupe,"$33,000","6,182",2
1947,Hudson,Super,"$78,000","2,076",0
1947,Ford,Super,"$26,000","3,175",1
1947,Ford,COE,"$48,000","15,609",7
1947,Ford,Coupe,"$59,000","2,635",0
1947,Lincoln,Coupe,"$52,000","3,036",2
1947,Ford,Coupe,"$72,000",792,0
1947,Ford,Coupe,"$25,000","8,431",2
1947,Mercury,Eight,"$38,000",844,0
1947,Ford,Stake,"$38,000","3,109",1
1947,Ford,Pickup,"$40,000","1,423",0
1947,Ford,Coupe,"$29,000","2,776",0
1947,Ford,Custom,"$39,000","1,475",0
1947,Chevrolet,Stylemaster,"$34,000","6,248",2
1948,Austin,Gasser,"$47,000","8,201",0
1948,Ford,Super,"$23,000","2,674",3
1948,Dodge,Custom,"$11,000","10,143",8
1948,Ford,Roadster,"$34,000","5,323",2
1948,Chrysler,New,"$19,000","1,117",1
1948,Chevrolet,3100,"$51,000","6,706",3
1948,Nash,Ambassador,"$20,000","9,305",7
1948,Dodge,Pickup,"$39,000","4,853",2
1948,Lincoln,Continental,"$35,000",896,0
1948,Oldsmobile,98,"$99,000","16,823",10
1948,Buick,Super,"$59,000","2,189",2
1948,Willys,Jeep,"$18,000","10,286",0
1948,Lincoln,Continental,"$45,000","8,266",4
1948,Chevrolet,Fleetmaster,"$36,000","3,011",2
1948,Chevrolet,6100,"$69,000","5,053",2
1948,Ford,Super,"$43,000","6,374",4
1948,Mercury,Coupe,"$37,000","14,625",7
1948,Dodge,Deluxe,"$26,000","4,897",5
1949,Willys,Jeep,"$35,000","1,148",0
1949,Cadillac,Series,"$22,000","1,234",0
1949,Chevrolet,3100,"$75,000","9,054",4
1949,Ford,Anglia,"$90,000","7,806",2
1949,MG,YT,"$25,000","10,196",4
1949,Dodge,B1B,"$19,000","3,701",3
1949,Packard,Series,"$30,000","4,234",2
1949,Cushman,Scooter,"$8,000","8,684",1
1949,Oldsmobile,88,"$28,000","4,849",0
1949,Willys,Jeepster,"$22,000",806,1
1949,Oldsmobile,76,"$27,000","10,826",8
1949,Chevrolet,Deluxe,"$52,000","3,532",1
1949,Chevrolet,Hearse,"$26,000","6,749",1
1950,Chevrolet,3100,"$36,000","2,745",0
1950,Pontiac,Chieftain,"$22,000","1,457",2
1950,Ford,Custom,"$54,000","2,872",0
1950,Willys,Jeepster,"$29,000",773,0
1950,Buick,Riviera,"$60,000","14,447",3
1950,Dodge,B2B,"$22,500","6,014",1
1950,Chevrolet,3100,"$75,000","6,081",2
1950,Chevrolet,3100,"$59,000","3,014",2
1950,Ford,Tudor,"$19,000","8,433",9
1950,Ford,Custom,"$30,000","5,946",1
1950,Studebaker,Land,"$17,500","3,693",0
1950,Chevrolet,3100,"$25,000","11,883",4
1950,Ford,Business,"$29,000","4,105",1
1950,Ford,Club,"$14,500","11,279",6
1950,Ford,Custom,"$15,500","5,652",5
1950,Ford,Country,"$57,000","2,278",1
1950,Willys,Jeepster,"$46,000",443,0
1950,Willys,Jeepster,"$20,000","3,059",1
1950,Willys,Jeepster,"$34,000","7,437",7
1950,Ford,Custom,"$15,000","3,868",0
1950,Chevrolet,3100,"$100,000","2,688",2
1950,Lincoln,Sport,"$52,000","5,964",4
1950,Ford,Customline,"$13,000","11,301",7
1950,Pontiac,Chieftain,"$25,000","8,752",2
1950,Dodge,B2B,"$26,000","7,389",4
1950,Chevrolet,Fleetline,"$50,000","5,121",2
1950,Chevrolet,3800,"$40,000","2,535",0
1950,Chevrolet,3600,"$25,000","5,694",8
1950,Dodge,Wayfarer,"$20,000","9,652",7
1951,Chevrolet,Bel,"$38,000","5,586",2
1951,MG,TD,"$32,000","1,917",0
1951,Mercury,Coupe,"$33,000","11,499",4
1951,Ford,Custom,"$69,000","6,381",2
1951,Chevrolet,3100,"$34,000","1,634",2
1951,GMC,5,"$37,000","12,855",9
1951,Chevrolet,3100,"$22,000","4,771",4
1951,Chevrolet,Deluxe,"$39,000","4,405",3
1951,Ford,Custom,"$40,000","1,992",1
1951,Chevrolet,Bel,"$36,000","5,151",4
1951,Chevrolet,Deluxe,"$20,500","5,776",2
1951,Mercury,Eight,"$34,000","2,071",0
1951,International,Harvester,"$33,000",583,1
1951,Ford,Coupe,"$24,000","16,720",8
1951,Chevrolet,3100,"$99,000","2,826",3
1951,Oldsmobile,Rocket,"$20,000","1,195",0
1951,Hudson,Hornet,"$20,000","3,654",6
1952,Chevrolet,3100,"$45,000","3,441",0
1952,Chevrolet,Deluxe,"$65,000",756,2
1952,Chevrolet,Styleline,"$21,000","4,340",4
1952,MG,TD,"$32,000","1,634",1
1952,Morris,Minor,"$28,000","7,426",5
1952,Chevrolet,3600,"$23,000","15,235",13
1952,Buick,Special,"$17,500","7,078",4
1952,Chevrolet,3600,"$43,000","2,088",0
1952,Ford,Truck,"$33,000","5,221",2
1952,Kaiser,Manhattan,"$17,000","1,960",1
1952,Buick,Roadmaster,"$59,000","12,200",3
1952,MG,TD,"$22,000","5,178",0
1952,Chevrolet,3100,"$29,000","4,217",0
